"COLLECTED_TIME","DATE","PRESS","TITLE","CONTENTS"
"2018-12-15 23:59:17","2018.01.01","티브이데일리","[TD영상] 수지 '민낯도 예쁘면 반칙'",\N
"2018-12-16 00:02:51","2018.01.01","채널A","하늘에서 본 평창의 풍경…준비 완료","동영상 뉴스 북한의 참가 발표로 다음달 평창 올림픽에 대한 관심이 더욱 커졌습니다. 선수들을 맞이할 경기장들도 결전의 날을 기다리고 있는데요, 하늘에서 본 평창과 강릉, 정선의 모습을 이현수 기자가 보도합니다. [리포트] 해발 800m 대관령에 들어선 오각형 모양의 올림픽 개막식장이 웅장함을 드러냅니다. 다음달 9일부터 17일간 평창을 밝힐 성화대는 백자를 형상화했습니다. 썰매경기가 열리는 슬라이딩센터. 구불구불 이어지는 총 길이 1857m의 트랙이 한눈에 들어옵니다. 매끄럽게 얼어붙은 트랙위로 우리 선수들은 훈련을 거듭중입니다. 가리왕산 중봉 사이로 하얗게 눈 덮인 스키 슬로프가 펼쳐집니다. 동계올림픽 최초로 남녀 활강경기 코스가 합쳐진 정선 알파인 경기장입니다. 선수를 실어나를 곤돌라도 시험운행에 들어갔습니다. 새로 개통된 경강선 KTX는 인천공항과 강릉을 1시간 50분 만에 주파합니다. 빙상 경기가 열리는 강릉 올림픽 파크. 타원형의 아이스 아레나에선 쇼트트랙과 피겨가 번갈아 열립니다. 이상화와 이승훈의 금빛 질주가 펼쳐질 스피드스케이팅 경기장 지붕엔 오륜기가 선명합니다. 우리 아이스하키 대표팀은 이곳 하키센터에서 기적을 꿈꿉니다. [이현수 기자] 세 번의 도전 끝에 30년 만에 우리 땅에서 열리는 올림픽. 세계인들이 모이는 축제의 장이 이제 한 달 여 앞으로 다가왔습니다. 채널A뉴스 이현수입니다. soon@donga.com 영상취재 : 김용균 영상편집 : 배영주 꿈을 담는 캔버스 채널A ⓒCHANNEL A(www.ichannela.com), 무단 전재 및 재배포 금지"
"2018-12-15 23:53:23","2018.01.01","JTBC","2018년, 무술년 첫 날 밝았다…지구촌 곳곳서 행사","동영상 뉴스 [앵커] 2018년 무술년 새해 첫날이 밝았습니다. 시청자 여러분 새해 복 많이 받으시고 가족 모두 건강하시기 바랍니다. JTBC 뉴스 아침앤은 올해도 최선을 다하겠습니다. 계속해서 많은 관심과 시청 바랍니다. 네, 지금 새해 처음으로 뜨는 해, 기다리는 분들 많으십니다. 날씨가 맑아서 전국 대부분 지역에서 해돋이 볼 수 있다고 하는데요. 새해 희망을 보여줄 첫 해, 잠시 뒤에 그 모습 전해드리도록 하겠습니다. 1월 1일 월요일 아침앤, 새해 시작을 알린 제야의 종 타종행사와 세계 곳곳의 첫날 표정부터 전해드립니다. 조민중 기자입니다. [기자] ""5,4,3,2,1,0"" 2018년 새해가 밝자 시민 10만여명이 일제히 환호성을 지릅니다. 이어 일본군 위안부 피해자 이용수 할머니 등 시민 대표 11명이 33번의 제야의 종을 울립니다. 롯데 월드타워에서도 555초 동안 1만 5000여 발의 불꽃이 하늘을 수놓았습니다. 이 순간 서울 중구 한 산부인과 분만실에서는 첫 아기가 우렁찬 울음 소리를 내며 세상과 만났습니다. [박수진/엄마 : 건강하게 나와줘서 너무 고맙고요. 건강히 바르게만 자랐으면 좋겠습니다.] 오전 0시 25분 인천공항에 도착한 중국인 후이천씨는 2018년 첫 대한민국 방문객이 됐습니다. 세계 곳곳에서도 새해를 맞는 축하 행사가 열렸습니다. 호주 시드니 하버 브리지와 오페라 하우스에서는 수십만 명이 모인 가운데 대규모 불꽃 놀이가 벌어졌습니다. 특히 올해는 호주 동성결혼 합법화를 기념해 하버 브리지에서 무지개색 폭포를 내려보내기도 했습니다. 홍콩 빅토리아 항구와 대만 101타워, 중국 베이징의 융딩먼에서도 새해를 알리는 화려한 축제가 이어졌습니다. 기대와 설렘으로 맞이한 새해 첫날, 희망으로 가득 찬 2018년의 문이 열렸습니다. 조민중(sms16@jtbc.co.kr)[영상편집: 정다정] ▶ 라이브 시청은 유튜브로, 제보는 뉴스룸으로! ▶ 스토리, 라이브, 비하인드! JTBC 소셜스토리 Copyright by JTBC(http://jtbc.joins.com) and JTBC Content Hub Co., Ltd. All Rights Reserved. 무단 전재 및 재배포 금지"
"2018-12-15 23:57:08","2018.01.01","JTBC","첫 아기, 첫 방문객, 첫 수출…새해 시작을 알린 '1호'들","동영상 뉴스 [앵커] 전국 곳곳에서 2018년 시작을 알린 의미있는 일들이 있었습니다. 서울의 한 병원에서는 2018년 첫 아기가 태어났고, 첫 수출 화물을 실은 비행기는 중국 상하이로 향했습니다. 이상화 기자입니다. [기자] 재야의 종 소리와 함께 서울의 한 산부인과 분만실에서는 첫 아기의 우렁찬 울음소리가 세상을 울렸습니다. [박수진/엄마 : 건강하게 나와줘서 너무 고맙고요. 건강히 바르게만 자랐으면 좋겠습니다.] 오전 0시 25분 인천공항에 도착한 중국인 관광객 후이천씨는 2018년 첫 대한민국 방문객이 됐습니다. 후이천씨는 4번째 방문만에 새해 첫 입국자라는 행운의 주인공이 됐습니다. 새해 첫 수출 작업도 순조롭게 진행됐습니다. 반도체, LCD 등 90t의 화물을 실은 비행기는 오전 1시 5분 중국 상하이를 향해 날아 올랐습니다. 모두에게 의미 있는 새해가 시작됐습니다. 이상화(sh9989@jtbc.co.kr)[영상편집: 정다정] ▶ 라이브 시청은 유튜브로, 제보는 뉴스룸으로! ▶ 스토리, 라이브, 비하인드! JTBC 소셜스토리 Copyright by JTBC(http://jtbc.joins.com) and JTBC Content Hub Co., Ltd. All Rights Reserved. 무단 전재 및 재배포 금지"
"2018-12-15 23:53:45","2018.01.01","TV조선","보신각·롯데타워에 '10만 인파'…""2018 무술년 밝았다!""","동영상 뉴스 [앵커] 2018년 무술년 새해가 밝았습니다. 서울 도심 곳곳은 새해에 대한 기대와 염원을 품은 시민들로 북적였습니다. 정동권 기자입니다. [리포트] 새해 시작을 알리는 보신각 종소리에, 서울 잠실 밤 하늘도 불꽃이 수놓습니다. 불꽃축제를 보러나온 시민들의 표정엔 저마다 새해를 맞는 설렘과 바람이 가득합니다. 강도윤 (전남 여수시) ""정치적으로 좀더 안정됐으면 좋겠고. 무엇보다도 가족들이 건강했으면 좋겠고"" 분만실에선 새해 첫 아기 울음소리도 터져 나왔습니다. ""공주님 태어났어요. 아빠 닮았네."" 박수진 / 산모 ""건강하게 잘 자랐으면 좋겠어요."" 한중 해빙무드를 반영하듯 인천국제공항 올해 첫 입국자는 우리 국적기를 타고 베이징에서 온 중국인 관광객이 첫 테이프를 끊었습니다. 바로 옆 화물터미널엔 메모리 반도체와 LCD 패널 등 우리 주력 수출품을 싣고 미국 로스앤젤레스로 떠나는 화물기가 새해 첫 운송에 나섰습니다. 김해영 / 아시아나항공 과장 ""2017년에 이어 2018년에도 수출이 잘 되었으면.."" 대북제재 국면과 외교적 난제 속 평창올림픽과 국민소득 3만 달러라는 시대적 과제까지 떠안은 대한민국호, 그 힘찬 한 해가 시작됐습니다. TV조선 정동권입니다./ 정동권 기자 live@chosun.com * 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661 0190) 정동권 기자(live@chosun.com)   Copyrights ⓒ TV조선. 무단전재 및 재배포 금지  "
"2018-12-15 23:56:51","2018.01.01","한국일보","지진피해 포항 호미곶서 평창성화 새해 첫 출발","아테네서 날아온 성화에 호미곶 일출 기운 더한 뒤 포스코 영일대해수욕장 등 봉송 전국서 관광객 35만명 일출 맞이 평창동계올림픽 포항 성화봉송 1번 주자(오른쪽)가 2번 주자에게 토치를 키스하며 동해 일출 기운을 더하는 이벤트를 열고 있다. 평창동계올림픽조직위원회 제공 평창동계올림픽 포항 성화봉송 2번주자가 본격적인 봉송에 앞서 포항 호미곶 상생의 손과 동해 일출을 배경으로 파이팅을 외치고 있다. 평창동계올림픽조직위원회 제공 2018 평창동계올림픽 포항 성화봉송 1번 주자가 파이팅을 외치고 있다. 평창동계올림픽조직위원회 제공 1일 대구ㆍ경북지역 해맞이 명소도 무술년 첫 해돋이를 보려는 인파로 넘쳐났다. 특히 경북 포항시 호미곶면에서 열린 호미곶한민족해맞이축전엔 전국에서 35만여 명의 관광객이 찾았다. 이날 오전 7시32분쯤 동해바다에서 붉은 해가 솟구치자 매서운 바닷바람을 맞으며 일출을 기다리던 사람들은 저마다 탄성을 내지르며 사진을 찍거나 새해 소망을 빌었다. 일출과 동시에 9일 개막하는 2018 평창동계올림픽 포항지역 성화봉송이 시작됐다. 특히 이날 성화는 상생의 손 위로 태양이 솟구치는 순간 포항 1번 주자가 이를 배경으로 2번 주자에게 성화 토치를 키스하는 '호미곶 일출 기운 합화' 이벤트는 열어 주목 받았다. 호미곶을 출발한 성화는 포스코와 포항시내, 포항캐릭터해상공원을 거쳐 성대한 축하행사가 열리는 영일대해수욕장에 도착할 예정이다. 2일 경주지역 봉송행사를 마친 성화는 3일 경북지역 찾아가는 성화봉송을 한 뒤 4일 경기로 이동하게 된다. 평창동계올림픽 성화는 지난해 10월 24일 그리스 아테네 올림피아 헤라 신천에서 채화돼 11월 1일 인천공항에 도착했다. 지난달 29일 대구에 도착한 성화는 31일까지 국내에서 총 4,300여 명이 1,118㎞를 달렸고, 새해 포항을 시작으로 9일 개막일까지 총 7,500여 명이 2,018㎞를 달리게 된다. 포항시는 이날 성화봉송에 맞춰 '감사해요. 대한민국! 힘내자 포항!'이란 글귀를 새긴 가로 18m, 세로 20m의 초대형 천을 펼쳐 보였다. 지난해 진진 피해에 대한 국민들의 성원에 보답하기 위해 포항시민들이 다시 열심히 뛰겠다는 염원을 담았다. 포항시 관계자는 ""조류인플루엔자 여파로 도내 곳곳에서 해맞이 행사가 취소됐지만, 포항은 지진피해로 침체에 빠진 지역경제를 활성화하고, 시민들의 사기를 높이기 위해 열었다""고 말했다. 지자체 등의 공식 해맞이 행사는 크게 줄었지만, 대구 팔공산 동봉과 갓바위, 앞산, 청룡산, 비슬산과 영주 소백산, 경주 토함산 등 해맞이 명소에도 수많은 사람들이 몰려 새해 새 출발을 다졌다. 정광진기자 kjcheong@hankookilbo.com ▶한국일보 [페이스북] [카카오 친구맺기] ▶네이버 채널에서 한국일보를 구독하세요! [ⓒ 한국일보(hankookilbo.com), 무단 전재 및 재배포 금지]"
"2018-12-16 00:01:45","2018.01.01","한국일보","‘스켈레톤 황제’ 아성 넘어선 윤성빈 쾌청","개띠 1994년생 슈퍼스타 3인의 기상도 하뉴, 발목 다쳐 두 달째 훈련 못하며 흐림 ‘금지 약물’ 쿨리즈니코프는 출전도 안개 스켈레톤 윤성빈이 지난달 30일 인천공항 출국장에서 인터뷰를 하고 있다. 영종도=연합뉴스 2018년 황금 개띠 해를 맞아 평창 동계올림픽 ‘금빛 기운’이 흐르는 1994년생 슈퍼스타 세 명이 있다. 대표적인 인물은 ‘스켈레톤 신성’ 윤성빈, ‘피겨 왕자’ 하뉴 유즈루(일본), ‘빙속 단거리 간판’ 파벨 쿨리즈니코프(이상 24ㆍ러시아)다. 이들은 평창 올림픽에서 유력한 금메달 후보로 꼽히지만 개막까지 30여일 앞둔 현재 메달 전선은 대비를 이룬다. 평창 올림픽 시즌의 윤성빈은 ‘스켈레톤 황제’ 마르틴스 두쿠르스(34ㆍ라트비아)를 제치고 세계 랭킹 1위에 올라있다. 지난 시즌까지 8시즌 연속 1위를 지켰던 두쿠르스의 아성을 마침내 넘어선 것이다. 윤성빈은 올 시즌 5차례 월드컵에서 금메달 3개, 은메달 2개, 두쿠르스는 금메달 2개, 은메달 2개를 획득했다. 윤성빈은 홈 트랙(평창 알펜시아 슬라이딩 센터) 이점까지 안고 있다. 한국 썰매 종목 사상 첫 금메달리스트로 기대를 모으는 그는 “황금 개가 되도록 노력하겠다”며 “설 연휴에 올림픽 스켈레톤 경기가 열리는데, 명절에 기분 좋은 결과를 전해드리겠다”고 다짐했다. 일본의 피겨 왕자 하뉴 유즈루. 연합뉴스 2014 소치 올림픽 피겨스케이팅 남자 싱글 챔피언인 하뉴는 기나긴 부상의 늪에서 헤어나오지 못하고 있다. 지난해 11월 국제빙상경기연맹(ISU) 그랑프리 NHK 트로피 대회 연습 도중 넘어지면서 오른 발목을 다쳐 지난달 평창 올림픽 일본 대표 선발전에도 불참했지만 일본빙상경기연맹이 출전권을 부여하면서 평창행도 확정했다. 하지만 2개월째 얼음판 위에서 훈련을 소화하지 못하고 있는 하뉴가 평창에서 제 기량을 찾을 수 있을지는 물음표다. 하뉴가 주춤한 사이 ‘점프 천재’ 네이선 첸(19ㆍ미국)이 강력한 경쟁자로 떠올랐다. 러시아 빙속 간판 파벨 쿨리즈니코프. AP 연합뉴스 러시아 스피드스케이팅 간판 쿨리즈니코프의 평창 올림픽 출전 여부는 안개 속이다. 2016 세계종목별선수권 500m와 1,000m에서 우승하고 500m 세계신기록(33초98)까지 보유한 그는 2016년 3월 금지약물인 멜도니움에 양성 반응을 보여 충격을 줬다. ISU의 출전 정지 징계를 받았지만 세계반도핑기구(WADA)가 멜도니움 성분에 대한 과학적 정보가 부족하다고 발표하며 제재 대상에서 제외됐다. 징계가 풀린 쿨리즈니코프는 다시 국제 무대를 누볐지만 외신은 “아직 쿨리즈니코프가 입증해야 할 것이 많다”, “올림픽에 러시아 출신 올림픽 선수(OAR)’로 출전한다”는 엇갈린 반응을 내놓고 있다. 김지섭기자 onion@hankookilbo.com ▶한국일보 [페이스북] [카카오 친구맺기] ▶네이버 채널에서 한국일보를 구독하세요! [ⓒ 한국일보(hankookilbo.com), 무단 전재 및 재배포 금지] 기사제공 한국일보"
"2018-12-16 00:02:22","2018.01.01","한국일보","[브리핑] KT, 최대 140만원까지 보장하는 ‘폰 안심케어3’ 출시 외","KT, 140만원까지 보장 ‘폰 안심케어3’ 출시 KT는 2일부터 고가 프리미엄폰 사용자 혜택을 강화한 단말보험상품 ‘KT 폰 안심케어3’를 출시한다. 사진은 KT 모델들이 폰 안심케어3를 소개하는 모습. KT 제공/2018 01 01(한국일보) KT는 휴대폰 분실, 도난, 파손 등 사고에 최대 140만원까지 보장하는 ‘KT 폰 안심케어3’를 출시한다고 1일 밝혔다. 종전 KT 폰 안심케어2에 ‘플래티넘형’과 ‘프리미엄형’ 2종이 추가돼 각각 최대 140만원, 100만원까지 지원받을 수 있다. KT 폰 안심케어3 가입은 2일부터 할 수 있다. LG전자 CES 주인공은 인공지능 ‘씽큐’ LG전자가 9일 미국 라스베이거스 ‘국제가전제품박람회(CES) 2018’에서 선보일 인공지능 브랜드 공간 'LG 씽큐 스위트(ThinQ Suite)'의 조감도. LG전자 제공/2018 01 01(한국일보) LG전자는 오는 9일 미국 라스베이거스에서 열리는 ‘국제가전제품박람회(CES) 2018’에 인공지능(AI) 브랜드 ‘씽큐’를 소개하는 ‘LG 싱큐 존’을 대규모로 조성한다고 1일 밝혔다. 씽큐존은 AI 플랫폼 ‘딥씽큐’와 연결된 다양한 가전제품으로 채워 AI 홈을 구현한다는 게 LG전자의 설명이다. 안내로봇, 청소로봇, 잔디깎이 로봇 등 다양한 상업용 로봇도 함께 전시된다. LG디스플레이, 세계 최초 88인치 8K OLED 개발 LG디스플레이가 세계 최초로 개발한 3,300만 화소의 8K 88인치 유기발광다이오드(OLED) 디스플레이. LG디스플레이 제공/2018 01 01(한국일보) LG디스플레이는 초고화질(UHD)보다 4배 더 선명한 3,300만 화소의 8K 88인치 유기발광다이오드(OLED) 디스플레이를 세계 최초로 개발했다고 1일 밝혔다. 이번 제품은 현존하는 OLED TV 제품군 중 가장 큰 초대형이자 초고해상도를 갖췄다. OLED 강점인 얇고 가벼운 디자인으로 섬세한 화질도 구현하는 이번 8K OLED는 오는 9월 개막하는 ‘국제가전제품박람회(CES) 2018’에 특별 전시된다. 현대백화점, 2018 스마일리 캠페인 진행 현대백화점은 즐거움과 긍정의 에너지를 확산하기 위해 올 한 해 ‘스마일리 캠페인’을 진행한다고 1일 밝혔다. 스마일리는 노란 동그라미에 눈 두 개와 웃는 입 모양이 그려진 얼굴 그림으로, 지난 1963년 그래픽 디자이너 하비 볼이 만들었다. 백화점 측은 압구정본점과 무역센터점 등 주요 매장 정문에 6m 높이의 대형 조형물인 '스마일리 라이트닝 볼'을 설치한다. 현대백화점 관계자는 “스마일리 캐릭터를 활용해 백화점 내부를 꾸미는 등 상업적 요소는 최소화하고 고객 체험형 콘텐츠와 이벤트를 진행하겠다”고 말했다. 노란우산공제 출범 10년 맞아 BIㆍ캐릭터 교체 노란우산 중소기업중앙회는 소기업ㆍ소상공인 공제제도인 노란우산공제 출범 10주년을 맞아 BI(브랜드 아이덴티티)와 캐릭터를 새롭게 개편했다고 1일 밝혔다. 우선 BI의 로고 글꼴을 변경해 가독성을 높였다. 또 심볼인 우산도 단순하고 현대적인 모습으로 개편했다. 국민에게 친근감을 줄 수 있도록 노란우산공제 캐릭터도 새로 만들었다. 시민 공모로 캐릭터 이름은 각각 ‘꿈이’(소기업ㆍ소상공인)와 ‘산이’(노란우산공제)로 지었다. 대한항공, 2월 인천∼양양 환승기 운항 대한항공이 평창동계올림픽의 성공적인 개최를 지원하기 위해 2월 1∼27일 인천공항과 강원도 양양공항을 오가는 환승 전용 내항기를 운항한다. 평창올림픽 대회 기간에 맞춰 개막 8일 전인 2월 1일부터 개막일(9일)까지는 하루 3회, 본 대회가 열리는 2월 10∼25일 하루 2회, 폐막 후 26∼27일 이틀 동안은 하루 4, 5회 운항한다. 환승 전용 내항기를 이용하는 입국 승객은 인천공항이 아닌 양양공항에서 세관검사, 입국 심사, 검역 등 수속을 받게 된다. 양양공항에서 인천공항을 거쳐 출국하는 승객은 양양공항에서 모든 국제선 탑승 수속을 받을 수 있다. 아시아나항공 첫 수출 화물기 반도체 싣고 중국으로 아시아나항공이 1일 오전 1시 5분 무술년 첫 수출 화물기를 띄웠다. 아시아나항공에 따르면 화물기 OZ987편(B747)은 이날 전자장비와 반도체 등 화물 약 90t을 싣고 인천공항을 떠나 중국 상하이 푸동공항에 도착했다. 기장 구영희씨는 “대한민국을 대표해 새해 첫 수출 화물기를 운항하게 돼 영광”이라며 “새해에도 항공 수출화물이 늘어나길 소망한다”고 말했다. ▶한국일보 [페이스북] [카카오 친구맺기] ▶네이버 채널에서 한국일보를 구독하세요! [ⓒ 한국일보(hankookilbo.com), 무단 전재 및 재배포 금지]"
"2018-12-16 00:01:06","2018.01.01","머니S","대한항공, 인천~양양 환승전용기 운항","본문 이미지 영역 사진=대한항공 대한항공이 인천공항과 평창 동계올림픽의 관문 공항인 양양공항을 연결하는 ‘환승전용 내항기’를 임시 운항한다고 1일 밝혔다. 환승전용 내항기는 인천공항에서 환승하는 국제선 승객들을 위한 국내선 연결 항공편이다. ‘인천~양양 환승전용 내항기’는 동계올림픽 개막 8일 전인 2월 1일부터 폐막 2일 후인 2월 27일까지 총 27일간 운항된다. 선수들이 입국하는 2월 1일부터 개막일인 2월 9일까지는 하루 3회 운항한다. 2월 10일부터 폐막일인 2월 25일까지는 하루 2회, 폐막 후 이틀 동안은 하루 4~5회 운항할 예정이다. 박효선 기자 rahs1351@mt.co.kr <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"
"2018-12-15 23:54:26","2018.01.01","연합뉴스TV","새해 밝자마자 ""응애""ㆍ'비상'…무술년 '1호'들","동영상 뉴스 새해 밝자마자 ""응애""ㆍ'비상'…무술년 '1호'들 [앵커] 무술년 새해가 밝았습니다. 하루 차이로 해가 바뀌는 사이, 오늘 새벽 곳곳에서 무술년 '1호'들이 탄생했는데요, 서울의 한 병원에서는 자정을 막 넘긴 시점 건강한 여자 아기가 태어났고 공항에서는 중국인 관광객이 무술년 첫 손님으로 한국땅을 밟았습니다. 김성진 기자입니다. [기자] 자정을 막 넘긴 시간, 건강한 여자 아이가 세상 밖으로 나옵니다. 엄마 품에 안긴 아기의 우렁찬 울음소리가 무술년의 힘찬 시작을 알립니다. <현장음> ""응애! 응애!"" 무사하게 세상으로 나와준 것만으로도 고마운데 무술년 '1호'라는 타이틀을 갖게된 딸에 대한 애정은 남다를 수밖에 없습니다. <박수진 / 무술년 '1호 아기' 엄마> ""건강하게 나와줘서 너무 고맙고 건강하고 바르게만 자라줬으면 좋겠어요. 예정일에 못나올줄 알았는데 나와서 복덩이 같아요."" 무술년 새해에 한국땅을 처음으로 밟은 외국인은 중국인 관광객이었습니다. 그 주인공은 베이징을 출발해 0시 25분 인천국제공항에 도착한 '유커' 후이천 씨. 예상치 못한 행운과 환대는 후이 씨에게도 잊지 못할 추억이 됐습니다. <후이천 / 무술년 '1호 외국인 관광객'> ""여행을 하러 한국에 왔고 한국의 음식과 놀거리, 관광지 모두 좋아하기 때문에 한국을 방문…"" 한밤 중 쉴새 없이 화물을 실어 담는 항공기. 화물뿐만 아니라 새해에도 '수출 강국'으로서의 도약이 계속되길 바라는 염원을 담은 '1호 화물기'는 힘차게 활주로를 달려 무술년 하늘을 향해 비상했습니다. <김해영 / 아시아나항공 과장> ""올 한해에는 다양한 분야로 항공 수출이 늘어나 우리 경제가 더욱 좋아지기를 희망합니다."" 무술년의 힘찬 시작을 알린 1호들. 2018년 새해의 희망찬 발걸음이 시작됐습니다. 연합뉴스TV 김성진입니다. 연합뉴스TV : 02 398 4441(기사문의ㆍ제보) 카톡/라인 jebo23 ▶ 연합뉴스TV 네이버 채널 구독 ▶ 생방송 시청 ▶ 대한민국 뉴스의 시작, 연합뉴스TV 앱 다운받기"
